75119,Ennis,Ellis County,"28,598"
75119,Ennis,Ellis County,"28,598"
75124,Eustace,Henderson County,"4,255"
75124,Eustace,Henderson County,"4,255"
75125,Ferris,Ellis County,"6,326"
75125,Ferris,Ellis County,"6,326"
75126,Forney,Kaufman County,"48,987"
75126,Forney,Kaufman County,"48,987"
75127,Fruitvale,Van Zandt County,"1,705"
75127,Fruitvale,Van Zandt County,"1,705"
75132,Fate,Rockwall County,"1,559"
75132,Fate,Rockwall County,"1,559"
75134,Lancaster,Dallas County,"21,879"
75134,Lancaster,Dallas County,"21,879"
75135,Caddo Mills,Hunt County,"7,363"
75135,Caddo Mills,Hunt County,"7,363"
75137,Duncanville,Dallas County,"19,548"
75137,Duncanville,Dallas County,"19,548"
75140,Grand Saline,Van Zandt County,"7,595"
75140,Grand Saline,Van Zandt County,"7,595"
75141,Hutchins,Dallas County,"5,782"
75141,Hutchins,Dallas County,"5,782"
75142,Kaufman,Kaufman County,"19,261"
75142,Kaufman,Kaufman County,"19,261"
75143,Kemp,Kaufman County,"14,510"
75143,Kemp,Kaufman County,"14,510"
75144,Kerens,Navarro County,"3,668"
75144,Kerens,Navarro County,"3,668"
75146,Lancaster,Dallas County,"19,701"
75146,Lancaster,Dallas County,"19,701"
75147,Mabank,Kaufman County,"6,636"
75147,Mabank,Kaufman County,"6,636"
75148,Malakoff,Henderson County,"5,961"
75148,Malakoff,Henderson County,"5,961"
75149,Mesquite,Dallas County,"56,473"
75149,Mesquite,Dallas County,"56,473"
75150,Mesquite,Dallas County,"60,671"
75150,Mesquite,Dallas County,"60,671"
75152,Palmer,Ellis County,"5,195"
75152,Palmer,Ellis County,"5,195"
75153,Powell,Navarro County,441
75153,Powell,Navarro County,441
75154,Red Oak,Ellis County,"40,947"
75154,Red Oak,Ellis County,"40,947"
75155,Rice,Ellis County,"3,233"
75155,Rice,Ellis County,"3,233"
75157,Rosser,Kaufman County,261
75157,Rosser,Kaufman County,261
75158,Scurry,Kaufman County,"4,191"
75158,Scurry,Kaufman County,"4,191"
75159,Seagoville,Dallas County,"20,098"
75159,Seagoville,Dallas County,"20,098"
75160,Terrell,Kaufman County,"25,525"
75160,Terrell,Kaufman County,"25,525"
75161,Terrell,Kaufman County,"6,529"
75161,Terrell,Kaufman County,"6,529"
75163,Trinidad,Henderson County,"2,716"
75163,Trinidad,Henderson County,"2,716"
75164,Josephine,Collin County,633
75164,Josephine,Collin County,633
75165,Waxahachie,Ellis County,"45,059"
75165,Waxahachie,Ellis County,"45,059"
75166,Lavon,Collin County,"4,395"
75166,Lavon,Collin County,"4,395"
75167,Waxahachie,Ellis County,"12,170"
75167,Waxahachie,Ellis County,"12,170"
75169,Wills Point,Van Zandt County,"14,142"
75169,Wills Point,Van Zandt County,"14,142"
75172,Wilmer,Dallas County,"4,619"
75172,Wilmer,Dallas County,"4,619"
75173,Nevada,Collin County,"4,409"
75173,Nevada,Collin County,"4,409"
75180,Mesquite,Dallas County,"23,941"
75180,Mesquite,Dallas County,"23,941"
75181,Mesquite,Dallas County,"28,263"
75181,Mesquite,Dallas County,"28,263"
75182,Sunnyvale,Dallas County,"6,325"
75182,Sunnyvale,Dallas County,"6,325"
75189,Royse City,Rockwall County,"29,135"
75189,Royse City,Rockwall County,"29,135"
75201,Dallas,Dallas County,"17,476"
75201,Dallas,Dallas County,"17,476"
75202,Dallas,Dallas County,"2,312"
75202,Dallas,Dallas County,"2,312"
75203,Dallas,Dallas County,"17,367"
75203,Dallas,Dallas County,"17,367"
75204,Dallas,Dallas County,"30,537"
75204,Dallas,Dallas County,"30,537"
75205,Dallas,Dallas County,"24,877"
75205,Dallas,Dallas County,"24,877"
75206,Dallas,Dallas County,"39,010"
75206,Dallas,Dallas County,"39,010"
75207,Dallas,Dallas County,"7,702"
75207,Dallas,Dallas County,"7,702"
75208,Dallas,Dallas County,"29,706"
75208,Dallas,Dallas County,"29,706"
75209,Dallas,Dallas County,"14,308"
75209,Dallas,Dallas County,"14,308"
75210,Dallas,Dallas County,"8,673"
75210,Dallas,Dallas County,"8,673"
75211,Dallas,Dallas County,"77,570"
75211,Dallas,Dallas County,"77,570"
75212,Dallas,Dallas County,"26,720"
75212,Dallas,Dallas County,"26,720"
75214,Dallas,Dallas County,"34,824"
75214,Dallas,Dallas County,"34,824"
75215,Dallas,Dallas County,"17,818"
75215,Dallas,Dallas County,"17,818"
75216,Dallas,Dallas County,"53,327"
75216,Dallas,Dallas County,"53,327"
75217,Dallas,Dallas County,"89,163"
75217,Dallas,Dallas County,"89,163"
75218,Dallas,Dallas County,"22,529"
75218,Dallas,Dallas County,"22,529"
75219,Dallas,Dallas County,"25,120"
75219,Dallas,Dallas County,"25,120"
75220,Dallas,Dallas County,"42,009"
75220,Dallas,Dallas County,"42,009"
75223,Dallas,Dallas County,"14,941"
75223,Dallas,Dallas County,"14,941"
75224,Dallas,Dallas County,"37,592"
75224,Dallas,Dallas County,"37,592"
75225,Dallas,Dallas County,"21,736"
75225,Dallas,Dallas County,"21,736"
75226,Dallas,Dallas County,"4,579"
75226,Dallas,Dallas County,"4,579"
75227,Dallas,Dallas County,"59,924"
75227,Dallas,Dallas County,"59,924"
75228,Dallas,Dallas County,"73,976"
75228,Dallas,Dallas County,"73,976"
75229,Dallas,Dallas County,"32,322"
75229,Dallas,Dallas County,"32,322"
75230,Dallas,Dallas County,"27,489"
75230,Dallas,Dallas County,"27,489"
75231,Dallas,Dallas County,"40,371"
75231,Dallas,Dallas County,"40,371"
75232,Dallas,Dallas County,"31,453"
75232,Dallas,Dallas County,"31,453"
75233,Dallas,Dallas County,"17,280"
75233,Dallas,Dallas County,"17,280"
75234,Dallas,Dallas County,"37,160"
75234,Dallas,Dallas County,"37,160"
75235,Dallas,Dallas County,"18,429"
75235,Dallas,Dallas County,"18,429"
75236,Dallas,Dallas County,"18,137"
75236,Dallas,Dallas County,"18,137"
75237,Dallas,Dallas County,"21,423"
75237,Dallas,Dallas County,"21,423"
75238,Dallas,Dallas County,"33,049"
75238,Dallas,Dallas County,"33,049"
75240,Dallas,Dallas County,"28,534"
75240,Dallas,Dallas County,"28,534"
75241,Dallas,Dallas County,"31,562"
75241,Dallas,Dallas County,"31,562"
75243,Dallas,Dallas County,"68,308"
75243,Dallas,Dallas County,"68,308"
75244,Dallas,Dallas County,"13,254"
75244,Dallas,Dallas County,"13,254"
75246,Dallas,Dallas County,"2,760"
75246,Dallas,Dallas County,"2,760"
75247,Dallas,Dallas County,792
75247,Dallas,Dallas County,792
75248,Dallas,Dallas County,"37,373"
75248,Dallas,Dallas County,"37,373"
75249,Dallas,Dallas County,"17,649"
75249,Dallas,Dallas County,"17,649"
75251,Dallas,Dallas County,"2,861"
75251,Dallas,Dallas County,"2,861"
75252,Dallas,Dallas County,"26,867"
75252,Dallas,Dallas County,"26,867"
75253,Dallas,Dallas County,"23,900"
75253,Dallas,Dallas County,"23,900"
75254,Dallas,Dallas County,"26,929"
75254,Dallas,Dallas County,"26,929"
75270,Dallas,Dallas County,
75270,Dallas,Dallas County,
75287,Dallas,Dallas County,"55,673"
75287,Dallas,Dallas County,"55,673"
75390,Dallas,Dallas County,
75390,Dallas,Dallas County,
75401,Greenville,Hunt County,"19,146"
